Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22093?e=0|*|||,Pin Hole Camerra,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22095?e=1|*|||,Rivers and Oceans,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22098?e=2|*|||,Wet Lands in India,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22099?e=3|*|||,Why Do We Blink Our Eyes,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22101?e=4|*|||,Why Mars is Red,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22102?e=5|*|||,Why Oceans Do Not Overflow,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22103?e=6|*|||,How 3D Glasses Work,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22104?e=7|*|||,Water Scarcity,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22105?e=8|*|||,Hard and Soft Water,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22108?e=9|*|||,Levitating candle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/00fa9307c21833b490393d61cab742ef13c44929?e=10|*|||,"Variation, Adaptation, and Natural Selection","Learning Goals During this session, you will have an opportunity to build understandings to help you: Recognize how populations vary…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0a95dac3e72f758ebc1910bf7462500d6aa9592f?e=11|*|||,Science in the Real World: A Biotech Startup,Introduction The Real World videos in the Reading and Writing in the Disciplines course support teachers’ daily efforts to effectively…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0c2a84f628d1f06883d9525dce80ca14d88267a8?e=12|*|||,Tackling a Scientific Text,Tracy Tran discusses the importance of encouraging students not to shy away from dense scientific text. Teacher: Tracy Tran School: The Urban…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1a47f436610cd68ce7a3d3d8a48818d066b08880?e=13|*|||,A Closer Look (video),"A Closer Look is a helpful video to view first, as it provides the basis for further study. This video features:…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/2eeec41c9f5ba7973799876bdadf0691b1341426?e=14|*|||,Evidence (video),"An image can show us otherwise invisible processes, previously undiscovered life forms, and dramatic change over time. This video features…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/3c2c751e758e2e2e424731e438826951ac66aefd?e=15|*|||,Story (video),Every photograph tells a story: Stories of struggle. Stories of beauty. Stories of community and culture. This video offers stories…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/4ebc2dc916f1127656069817dce777a63ed8bc2f?e=16|*|||,Under Construction,N/A,Annenberg Learner,English
