Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22117?e=0|*|||,Area of Circle,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22118?e=1|*|||,Examples of solving algebraic expressions,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22132?e=2|*|||,Complementary and Supplementary Angles,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22133?e=3|*|||,Multiplication of Decimal Numbers,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22134?e=4|*|||,Algebraic Expressions Variables and constants,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22135?e=5|*|||,Adding Integers,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22136?e=6|*|||,Adding and subtracting Integers using Coins and Blocks,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22137?e=7|*|||,Area of a Square rectangle circle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22138?e=8|*|||,Area of a Triangle Derivation,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22139?e=9|*|||,Calculating Median,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22140?e=10|*|||,Calculating Range,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22141?e=11|*|||,Classification of Polynomials,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22142?e=12|*|||,Congruent Triangles,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22143?e=13|*|||,Constructing parallel line through a point,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22144?e=14|*|||,Criteria for Congruency of Right Angled Triangle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22145?e=15|*|||,Dividing by a Fraction,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22146?e=16|*|||,Examples on Area of a triangle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22147?e=17|*|||,Exterior Angles of a Triangle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22148?e=18|*|||,Median Altitude and Angle Bisector in a Triangle,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22149?e=19|*|||,Multiplying Fractions,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22150?e=0|*|||,Multiplying Integers,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22151?e=1|*|||,Parallel Lines and Alternate Angles,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22152?e=2|*|||,Parallel Lines and Cointerior Angles,N/A,Raj-eGyan,English
