Video Link,Title,Description,Content Provider,Language
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22190?e=0|*|||,A Trip to a Weather Station,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22192?e=1|*|||,Weather and Atmosphere,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22193?e=2|*|||,Science of a Flute,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22194?e=3|*|||,Why Sound Travels Faster in Solids than Air,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22195?e=4|*|||,Why Things Turn Black on Burning,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22196?e=5|*|||,Green House Effect,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22197?e=6|*|||,How is Fire Droused by Water,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22198?e=7|*|||,Refraction of Light,N/A,Raj-eGyan,Hindi
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22199?e=8|*|||,The Circulatory System - Journey of the Red Blood Cell,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/raj_egyan/12345678_rjsthnbrd/22200?e=9|*|||,Water Pollution,N/A,Raj-eGyan,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/00fa9307c21833b490393d61cab742ef13c44929?e=10|*|||,"Variation, Adaptation, and Natural Selection","Learning Goals During this session, you will have an opportunity to build understandings to help you: Recognize how populations vary…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/071bcdc00b27518a7630da8f071d34533dabb4d8?e=11|*|||,Thinking and Communicating Like a Biologist,"Amy Sheck leads students as they read and discuss a scientific paper on biofilms, design and propose an experiment, and…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0a95dac3e72f758ebc1910bf7462500d6aa9592f?e=12|*|||,Science in the Real World: A Biotech Startup,Introduction The Real World videos in the Reading and Writing in the Disciplines course support teachers’ daily efforts to effectively…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0c2a84f628d1f06883d9525dce80ca14d88267a8?e=13|*|||,Tackling a Scientific Text,Tracy Tran discusses the importance of encouraging students not to shy away from dense scientific text. Teacher: Tracy Tran School: The Urban…,Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/0f8554405f36e54105a83960812f185f2ff7e2c9?e=14|*|||,Chemical Changes and Conservation of Matter,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Refine and extend the…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/14375ca3bd15c27ab5229162a5006ef89a7ba4d0?e=15|*|||,Material Cycles in Ecosystems,"Learning Goals During this session, you will have an opportunity to build understandings to help you: Distinguish between producers, consumers,…",Annenberg Learner,English
http://ndl.iitkgp.ac.in/se_document/annenberg_learner/annenberg_learner/1a47f436610cd68ce7a3d3d8a48818d066b08880?e=16|*|||,A Closer Look (video),"A Closer Look is a helpful video to view first, as it provides the basis for further study. This video features:…",Annenberg Learner,English
